Date	U1	NINO3	Nino3
1949-01-01	-0.9765714	-0.3221875	-0.3777917
1949-02-01	-1.388	-0.347625	0.119625
1949-03-01	-0.5522857	-0.081000008	-0.41575
1949-04-01	-1.914	0.2090625	0.37075
1949-05-01	-2.217143	-0.107625	0.2958333
1949-06-01	-2.771714	-0.2990625	-0.4814167
1949-07-01	-1.650571	-0.422875	-0.8129584
1949-08-01	-4.968286	-0.086875007	-0.6470417
1949-09-01	-3.939143	-0.3241875	-0.9257084
1949-10-01	-2.558571	-0.3146875	-1.08475
1949-11-01	-1.838	-0.228125	-1.513708
1949-12-01	-1.222857	-0.103	-1.293167
1950-01-01	-1.097714	0.1731875	-1.264958
1950-02-01	-1.438286	0.018375006	-1.398792
1950-03-01	-2.414	-0.116875	-0.5907917
1950-04-01	-3.569429	-0.227625	-0.6573334
1950-05-01	-4.074857	-0.3483125	-1.079458
1950-06-01	-2.662571	-0.466375	-0.561375
1950-07-01	-1.927714	-0.2745	-0.4275834
1950-08-01	-3.758857	-0.1368125	-0.3512084
1950-09-01	-2.828857	-0.094625004	-0.9217501
1950-10-01	-2.534286	-0.2954375	-0.6642917
1950-11-01	0.1962857	-0.2790625	-0.69525
1950-12-01	-2.624857	-0.261625	-0.4615
1951-01-01	-1.139143	-0.13525	-0.2005417
1951-02-01	-1.501429	-0.466125	-0.113
1951-03-01	0.2885714	-0.3235	-0.080708332
1951-04-01	-0.093714274	-0.332375	0.12925
1951-05-01	-0.27	-0.58825	0.3492084
1951-06-01	-2.998857	-0.777	0.6534584
1951-07-01	-1.174571	-0.6953125	0.9438334
1951-08-01	0.0011428678	-0.5950626	0.9537084
1951-09-01	-0.822	-0.7368125	0.8770834
1951-10-01	-0.7802857	-0.440625	0.9367084
1951-11-01	-1.660857	-0.5100625	1.058167
1951-12-01	0.1371429	-0.784875	0.7833334
1952-01-01	-1.162571	-0.554	0.6069584
1952-02-01	-0.2328571	-0.24475	0.437875
1952-03-01	-2.155714	-0.3274375	0.2175417
1952-04-01	-1.146571	-0.023187501	0.4243334
1952-05-01	-3.006857	-0.101875	0.1422917
1952-06-01	-3.399429	-0.0065625007	-0.265125
1952-07-01	-4.113714	0.027875001	-0.4897917
1952-08-01	-3.922571	0.085875005	-0.2794583
1952-09-01	-0.8905714	-0.16075	-0.1289583
1952-10-01	-1.982857	-0.031937502	-0.074583337
1952-11-01	-0.7237143	0.081437498	-0.4577917
1952-12-01	-1.006857	0.3244375	-0.22925
1953-01-01	-0.8134286	0.2443125	0.15475
1953-02-01	-1.46	-0.022187499	0.37275
1953-03-01	-2.892857	-0.1279375	0.2254583
1953-04-01	-3.145429	-0.014000001	0.6130417
1953-05-01	-1.735143	-0.139	0.4869584
1953-06-01	-3.508571	0.027000003	0.5982917
1953-07-01	-3.139429	0.045812503	0.40175
1953-08-01	-3.276857	-0.160375	0.422375
1953-09-01	-3.368857	0.087062508	1.030625
1953-10-01	-1.454857	0.185625	0.535
1953-11-01	-1.216857	0.1509375	0.3735417
1953-12-01	0.3457143	-0.088500008	0.428875
1954-01-01	-1.66	-0.1114375	0.2042917
1954-02-01	-1.477429	-0.064687505	-0.031291667
1954-03-01	-0.7365714	-0.010750001	-0.1205417
1954-04-01	-1.957429	-0.1870625	-0.767
1954-05-01	-1.307429	-0.3258125	-0.76675
1954-06-01	-0.6374286	-0.1308125	-0.6817917
1954-07-01	-1.436857	-0.3028125	-0.7750834
1954-08-01	-1.943143	-0.253875	-0.7529167
1954-09-01	-1.966	-0.1180625	-0.9442917
1954-10-01	-0.3354286	-0.1701875	-0.80575
1954-11-01	1.098286	-0.2511875	-0.5814583
1954-12-01	-0.043142844	-0.4425	-0.8240417
1955-01-01	-1.911714	-0.3725625	-0.4450417
1955-02-01	-3.802	-0.4930625	-0.393625
1955-03-01	-3.422857	-0.3189375	-0.3714584
1955-04-01	-3.227429	-0.4345625	-0.4055
1955-05-01	-1.203714	-0.36375	-0.95825
1955-06-01	-1.304	-0.2465	-0.8116667
1955-07-01	-1.261714	0.0024999997	-0.5105417
1955-08-01	-2.003714	-0.13725	-0.5210417
1955-09-01	-2.281143	-0.046124998	-0.9434167
1955-10-01	-0.3611429	-0.4590625	-1.259667
1955-11-01	-0.558	-0.5641875	-1.72825
1955-12-01	-0.6528571	-0.334625	-1.362417
1956-01-01	-3.272857	-0.129875	-0.8777917
1956-02-01	-3.513714	-0.1854375	-0.29675
1956-03-01	-2.569714	-0.443375	-0.335875
1956-04-01	-1.244857	-0.526625	-0.3919167
1956-05-01	0.9911429	-0.1345	-0.2565417
