K	Lag	Month	Obs	SimPAR	SimPARX	SimRIDGE	SimPARX0	SimPARX1	SimPARX2	SimPARX3
223	1	1	2720.31412815	2309.79431150719	2298.37077733801	2287.65395964117	2311.3535178766	2480.78975227213	2298.37077733801	2252.74859975989
223	1	1	1350.09315675	1785.85703738316	1784.43408449252	1704.5643797008	1780.2104505956	1537.35095975983	1784.43408449252	1786.66212564408
223	1	1	2056.2609546	1937.33672162467	1937.24654919712	2016.50129617518	1933.77345917007	2182.35090671024	1937.24654919712	1963.62557496554
223	1	1	1207.9998684	1690.11128896261	1692.52075525916	1706.53157346367	1683.14789557844	1576.74544857659	1692.52075525916	1794.30244531074
223	1	1	927.92736045	906.874671805463	903.509954434991	1028.94765230607	889.139299913697	675.715653123639	903.509954434991	1208.45086783127
223	1	1	826.63018335	1260.13697473378	1255.22651886855	1225.51388028989	1247.26007581344	1062.10827293088	1255.22651886855	1223.6915292415
223	1	1	1206.3210831	1577.32439856529	1564.98555306676	1574.93221173972	1568.80982903246	1664.32030261598	1564.98555306676	1474.01770053265
223	1	1	1244.19989655	2148.37372981643	2157.80351912289	2184.06070720115	2147.7128930998	2155.04039168767	2157.80351912289	2290.84456605533
223	1	1	993.0865086	1153.38956275251	1137.43546678224	1192.48150521935	1139.04454959643	1085.13204964411	1137.43546678224	1194.56385538086
223	1	1	936.93686445	1261.26914826902	1255.70439899724	1237.86137868402	1248.40782031245	1161.75292749529	1255.70439899724	1172.8166804646
223	1	2	2791.27888335	2619.6625113929	2219.9459280538	2205.83887914186	2609.04609604403	2357.00427234712	2556.00290394785	2339.10975968985
223	1	2	3298.090608	3142.83297236765	3198.26642418435	3157.4281978543	3201.84055126642	3223.17850479393	3414.35769423667	3075.26377779976
223	1	2	2537.556624	2249.49610538265	2490.1282150931	2575.14218211076	2189.6176126705	2578.62197913965	2146.59796543108	2123.34233860783
223	1	2	2746.8220725	2709.89318093789	1914.2327202514	1864.58819366454	2711.28474403195	1919.46619428894	2389.80985865537	2682.63591541814
223	1	2	1501.65775485	2156.85617672612	1454.42193509094	1487.61429721268	2084.64907920729	1415.9920465739	1617.71910383538	2216.04670019569
223	1	2	1802.3809014	1974.2585505016	2704.43605020175	2881.8018086601	1877.75119708874	2464.40588544444	1647.50184529623	2509.22649145444
223	1	2	2055.2031423	1908.21628088689	1376.85567039781	1453.09642479224	1802.91996299161	1398.88484371288	1408.0103603729	1847.6351920035
223	1	2	2818.38136275	2155.76166654743	1712.83935254678	1761.88139751628	2083.40891063221	1816.77262803207	2023.67367590332	1872.34184006997
223	1	2	1507.91045265	2180.45734792936	1453.18061951908	1482.91482318752	2111.39111544529	1390.80027729442	1631.4582884717	2280.83476683068
223	1	2	2052.7563321	2016.7400702555	2357.89003678825	2481.93906453881	1925.8861955988	2394.88629980126	1696.86517376103	2041.88589202444
223	1	2	1922.85010485	1980.13243671736	1575.17022774676	1652.5371498913	1884.40678535116	1639.39704594667	1755.02026864387	1776.34082363249
223	1	3	3879.761805	3219.46254125725	3292.02278769934	3358.8143905677	3229.48871403037	3202.99726702404	3258.49707503922	3292.02278769934
223	1	3	3157.8865785	3603.93350178166	3650.37771878786	3373.05095971067	3637.84017263441	3485.2591840991	3603.17711432401	3650.37771878786
223	1	3	2541.1024485	3026.98703997306	3043.69696346168	2978.57282315769	3025.0580553722	2940.3200754063	3026.65095692256	3043.69696346168
223	1	3	3630.450465	3185.7372899696	3238.22933813207	3239.0311903477	3193.66869907705	3011.12783041377	3264.94935044907	3238.22933813207
223	1	3	2160.4374648	2241.14682780493	2150.25813830021	2364.75721703144	2190.40724993591	2195.0546427522	2261.73869544835	2150.25813830021
223	1	3	1689.35886135	2469.2775346978	2250.99381358989	2179.83321573645	2432.70775238481	2350.6209985831	2473.91187228635	2250.99381358989
223	1	3	2521.1204595	2661.07027561729	2566.99914918193	2678.96787570482	2636.41324264424	2657.2501259562	2684.90534669938	2566.99914918193
223	1	3	3170.1797838	3240.02267390751	3318.44706556067	3454.60739600315	3251.3258903554	3383.05708197244	3242.65583709214	3318.44706556067
223	1	3	2476.5436233	2245.89016860016	2130.33789203294	2396.84101508048	2195.44521204817	2268.39911078831	2269.45609360194	2130.33789203294
223	1	3	3540.00717	2659.21410808592	2586.3529165381	2672.47707484401	2634.44178368719	2720.09219096603	2636.1604321602	2586.3529165381
223	1	3	3374.486964	2560.66632487628	2560.18392902016	2800.95017327984	2529.77293961907	2738.3904448962	2515.70244823108	2560.18392902016
223	1	4	3775.7468655	3609.5654464102	3751.10952212096	3985.48066469492	3560.42857628037	3744.89292790291	3576.29294210579	3537.08990895612
223	1	4	2241.42985485	3137.25519889501	3018.07338443594	2977.30545769378	3096.82535954104	3018.47520290138	3078.10887694535	3096.59388725659
