K	Lag	Month	Lambda
223	1	1	4.4
223	1	2	2.8
223	1	3	1.65
223	1	4	1.95
223	1	5	2.2
223	1	6	0.55
223	1	7	0.65
223	1	8	0.45
223	1	9	0.7
223	1	10	2.05
223	1	11	3.3
223	1	12	4.8
223	2	1	13.9
223	2	2	44.7
223	2	3	9.5
223	2	4	4.1
223	2	5	7.8
223	2	6	3.3
223	2	7	1.4
223	2	8	2.05
223	2	9	1.5
223	2	10	3.15
223	2	11	13.15
223	2	12	28.8
223	3	1	54.15
223	3	2	29.3
223	3	3	1000
223	3	4	18.15
223	3	5	12.6
223	3	6	12.2
223	3	7	2.4
223	3	8	3.15
223	3	9	5.15
223	3	10	3.4
223	3	11	13.45
223	3	12	78.1
223	4	1	48.1
223	4	2	45.3
223	4	3	39.95
223	4	4	1000
223	4	5	108
223	4	6	15.7
223	4	7	6.25
223	4	8	2.15
223	4	9	5
223	4	10	7.25
223	4	11	13.6
223	4	12	97.9
223	5	1	469
223	5	2	24.95
223	5	3	83.65
223	5	4	26.3
223	5	5	501
223	5	6	53.3
223	5	7	7.95
223	5	8	6.15
223	5	9	3
223	5	10	9
223	5	11	23.1
223	5	12	203
223	6	1	1000
223	6	2	22.5
223	6	3	75.2
223	6	4	21.55
223	6	5	1000
223	6	6	114
223	6	7	23.55
223	6	8	6.75
223	6	9	6.85
223	6	10	6
223	6	11	41.35
223	6	12	32.8
224	1	1	13.3
224	1	2	3.15
224	1	3	1.9
224	1	4	3.5
224	1	5	1.05
224	1	6	0.65
224	1	7	0.2
224	1	8	0.15
224	1	9	0.5
224	1	10	2.75
224	1	11	2.75
224	1	12	7.15
224	2	1	56.3
224	2	2	26
224	2	3	9.8
224	2	4	20.85
224	2	5	7.75
224	2	6	1.9
224	2	7	1.15
224	2	8	0.3
224	2	9	0.8
224	2	10	3
224	2	11	19.75
224	2	12	35.4
224	3	1	86.15
224	3	2	32.95
224	3	3	61
224	3	4	26.35
224	3	5	13.5
224	3	6	3.75
224	3	7	2.65
224	3	8	1.85
224	3	9	1.05
224	3	10	4.55
224	3	11	27.35
224	3	12	1000
224	4	1	94.6
224	4	2	31.95
224	4	3	102
224	4	4	50.95
224	4	5	19.55
224	4	6	6.35
224	4	7	3.45
224	4	8	3.75
224	4	9	4.4
224	4	10	5.1
224	4	11	42
224	4	12	1000
224	5	1	1000
224	5	2	37.95
224	5	3	63.35
224	5	4	26.85
224	5	5	18.9
224	5	6	10.4
224	5	7	5.4
224	5	8	3.35
224	5	9	4.8
224	5	10	13.85
224	5	11	78.05
224	5	12	1000
224	6	1	1000
224	6	2	64.65
224	6	3	100
224	6	4	21.45
224	6	5	12.9
224	6	6	10.6
224	6	7	8.75
224	6	8	4.75
224	6	9	3.3
224	6	10	15.85
224	6	11	115
224	6	12	1000
225	1	1	69.9
225	1	2	11.6
225	1	3	4.85
225	1	4	13.5
225	1	5	16.05
225	1	6	6.1
225	1	7	6.2
225	1	8	14.6
225	1	9	6.25
225	1	10	12.6
225	1	11	4.5
225	1	12	29.65
225	2	1	499
225	2	2	101
225	2	3	22.35
225	2	4	14.15
225	2	5	14.85
225	2	6	17.45
225	2	7	7.65
225	2	8	32.15
225	2	9	30.7
225	2	10	30.55
225	2	11	8.1
225	2	12	34.8
225	3	1	1000
225	3	2	799
225	3	3	82.9
225	3	4	19.8
225	3	5	15.75
225	3	6	32.3
225	3	7	12.75
225	3	8	22.9
225	3	9	546
225	3	10	32.25
225	3	11	5.2
225	3	12	68.15
225	4	1	1000
225	4	2	87.9
225	4	3	27.05
225	4	4	46.5
225	4	5	23.2
225	4	6	33.4
225	4	7	19.05
225	4	8	7.1
225	4	9	1000
225	4	10	30.6
225	4	11	10.6
225	4	12	93.35
225	5	1	1000
225	5	2	469
225	5	3	39.35
225	5	4	49.85
225	5	5	23.8
225	5	6	54.7
225	5	7	16.6
225	5	8	29.9
225	5	9	54.15
225	5	10	36.35
225	5	11	11.7
225	5	12	92.25
225	6	1	1000
225	6	2	1000
225	6	3	455
225	6	4	16.5
225	6	5	46.75
225	6	6	152
225	6	7	17.1
225	6	8	47.9
225	6	9	507
225	6	10	21.4
225	6	11	8.95
225	6	12	14.65
226	1	1	14.35
226	1	2	7.6
226	1	3	6.4
226	1	4	4.25
226	1	5	1.7
226	1	6	1.45
226	1	7	0.55
226	1	8	0.65
226	1	9	1.95
226	1	10	2.6
226	1	11	1.85
226	1	12	4.8
226	2	1	20
226	2	2	25.7
226	2	3	16.2
226	2	4	3.3
226	2	5	5
226	2	6	4.05
226	2	7	1.35
226	2	8	1.75
226	2	9	3
226	2	10	7.4
226	2	11	4.4
226	2	12	7.5
226	3	1	44.75
226	3	2	14.25
226	3	3	455
226	3	4	20.7
226	3	5	2.25
226	3	6	5.5
226	3	7	3.15
226	3	8	2.2
226	3	9	5.85
226	3	10	5.85
226	3	11	31.45
226	3	12	13.5
226	4	1	111
226	4	2	47.85
226	4	3	14.1
226	4	4	40.5
226	4	5	11.45
226	4	6	2.9
226	4	7	4.6
226	4	8	4.55
226	4	9	9.9
226	4	10	10.9
226	4	11	22.45
226	4	12	22.9
226	5	1	43.6
226	5	2	229
226	5	3	1000
226	5	4	8
226	5	5	24.35
226	5	6	9.2
226	5	7	2.85
226	5	8	5.35
226	5	9	10.5
226	5	10	11.25
226	5	11	28.2
226	5	12	18.55
226	6	1	40.55
226	6	2	261
226	6	3	1000
226	6	4	17.65
226	6	5	5.45
226	6	6	17.7
226	6	7	5.8
226	6	8	4.05
226	6	9	6.55
226	6	10	12.25
226	6	11	36.4
226	6	12	34.2
