Date	Subsystem_N	Subsystem_NE	Subsystem_S	Subsystem_SE
1931-01-01	2138.466204	506.165589	511.44361425	4922.112735675
1931-02-01	2794.1876955	510.1067565	243.398853	7783.9386399
1931-03-01	4344.5008431	708.334974	249.4593729	7876.524757725
1931-04-01	4419.5899185	764.402067	159.3961173	6045.985330425
1931-05-01	2115.0629775	484.212771	1137.8838744	3992.203853325
1931-06-01	1251.4007799	256.9263525	1123.8513561	2837.98517625
1931-07-01	811.6240716	202.291029	841.95938745	2257.340669325
1931-08-01	568.07870625	175.495995	385.02606825	1804.2639309
1931-09-01	434.51182845	156.6544185	954.7044912	1699.38193455
1931-10-01	446.93246565	154.4815035	556.93974555	1837.968246
1931-11-01	842.6697786	226.835649	311.39819235	2178.30172005
1931-12-01	1090.63935585	246.112299	397.31613435	3227.619467475
1932-01-01	1784.9738412	445.5726525	370.9171791	5081.905422225
1932-02-01	2615.37901065	481.0514985	539.08534935	5675.69081655
1932-03-01	2789.3974725	346.7731995	598.48980435	5159.3853663
1932-04-01	2053.143729	221.5593405	1463.50068075	3943.297177425
1932-05-01	1279.86572115	158.0425335	1035.5181921	3112.760553975
1932-06-01	847.78368255	141.757443	876.4221627	2611.56086055
1932-07-01	554.0747841	127.99107	608.68484685	2014.695861975
1932-08-01	344.20204755	108.5903235	467.5673592	1456.352697825
1932-09-01	289.0273212	101.292174	796.1944131	1146.174280875
1932-10-01	362.65357845	106.155972	856.8443457	1567.9263159
1932-11-01	668.90421855	246.9976515	403.45071975	2285.21561265
1932-12-01	1171.81887165	387.080037	562.4065152	4233.08185515
1933-01-01	1815.5459214	624.9465405	203.87235195	5782.130567325
1933-02-01	2604.30558075	597.4824645	254.28388185	5111.17946775
1933-03-01	2669.4904311	389.337318	219.44121435	4529.6648874
1933-04-01	2764.29569355	330.2453115	130.69436265	4329.0645138
1933-05-01	1908.03955545	220.9717215	156.69625815	3079.45744335
1933-06-01	987.40941255	153.042867	158.2151895	2161.66111515
1933-07-01	594.12876885	141.616179	164.1424896	1553.108973075
1933-08-01	406.5580863	122.233581	218.75137515	1143.312507675
1933-09-01	287.6590224	101.70027	337.997664	1054.4745456
1933-10-01	282.10366845	134.927721	655.6302585	1441.3395474
1933-11-01	722.58100695	234.3437325	296.6551848	1567.45548495
1933-12-01	1371.5766153	480.362346	132.87679335	3054.8191869
1934-01-01	2230.9728363	722.667384	247.94573895	4093.611441975
1934-02-01	2267.57919465	495.8763705	572.77553805	3881.355513075
1934-03-01	2734.73257185	299.0652075	375.5138508	3930.051813525
1934-04-01	2576.2879755	206.6118435	490.13737335	3398.4502434
1934-05-01	1989.7765245	207.9391365	418.7958651	2429.113916475
1934-06-01	1033.73193825	138.1821885	310.55884875	1754.85336435
1934-07-01	607.9872087	117.59247	241.10434305	1422.50429835
1934-08-01	403.6874841	106.128504	298.6764372	952.241862375
1934-09-01	229.5794079	106.0397235	340.27942095	848.0988288
1934-10-01	311.27046615	112.3034085	440.4652722	968.43167325
1934-11-01	387.45306225	129.876552	187.60099545	1329.52168485
1934-12-01	1009.9454841	210.248901	397.94672115	3471.440542875
1935-01-01	2419.3126719	536.3740125	214.7812191	5461.9859997
